CL VGE. DEL REMEI	Carrer de la Verge del Remei	OSM
CL VGE. DEL ROSER	Carrer de la Verge del Roser	OSM
CL DRASSANES DEL PLA	Carrer de les Drassanes del Pla	OSM
CL PALMES LES	Carrer de les Palmes	OSM
CL BERGANTI HERNAN CORTES	Carrer del Bergantí Hernán Cortés	OSM
CL BONAIRE	Carrer del Bonaire	OSM
CL BRUC	Carrer del Bruc	OSM
CL CADI	Carrer del Cadí	OSM
CL DOCTOR GUITERAS	Carrer del Doctor Guiteras	OSM
CL GRAM	Carrer del Gram	OSM
CL MAR DEL	Carrer del Mar	OSM
CL MAS EL GRAU	Carrer del Mas el Grau	OSM
CL MAS MUNI	Carrer del Mas Muní	OSM
CL MAS RAMONET	Carrer del Mas Ramonet	OSM
CL MERCAT	Carrer del Mercat	OSM
CL MONTNEGRE	Carrer del Montnegre	OSM
CL MONTSENY	Carrer del Montseny	OSM
CL PAS DEN MORGAS	Carrer del Pas d'en Marges	OSM
CL PAS MARGES	Carrer del Pas d'en Marges	OSM
PS PAS D'EN MARGES	Carrer del Pas d'en Marges	OSM
CL RAVALET	Carrer del Ravalet	OSM
CL REV FERRAN ROIG	Carrer del Reverend Ferran Roig	OSM
CL ROMANI	Carrer del Romaní	OSM
AV LLIMONERS ELS	Avinguda dels Llimoners	OSM
CL PIRINEU	Carrer dels Pirineus	OSM
CR NACIONAL II		CAT
CL ESCALES ST. CRIST	Escales del Sant Crist	OSM
LG S-U7 N-AUTOPIST		CAT
PJ JAUME PAGA	Passatge de Jaume Pagà	CAT
PJ DOCTOR SANTIÑA	Passatge del Doctor Santiñà	OSM
PS MISERICORDIA	Passeig de la Misericòrdia	OSM
PZ PAU CASALS	Plaça de Pau Casals	CAT
PZ PERE DOMENECH ROURA	Plaça de Pere Domènech Roura	OSM
PZ JAUME TRAVESA	Plaça de Jaume Travessa	OSM
PZ PERE LLAUGUER PRIM	Plaça de Pere Llauger Prim	OSM
PZ ESGLESIA	Plaça de l'Església	OSM
PS ONZE SETEMBRE	Plaça de l'Onze de Setembre	OSM
PL GABRIEL MACIA	Plaça de Gabriel Macià	CAT
PL POLIGONO 34		CAT
RR GAVARRA	Riera Gavarra	OSM
RR SANT DOMENEC	Riera de Sant Domènec	OSM
