000300100QA71D	000300100QA71D
11007A00200245	11007A00200101
11007A00200249	11007A00200101
11007A00200250	11007A00200101
11007A00200251	11007A00200101
11007A00200252	11007A00200101
11007A00200259	11007A00200101
11007A00200264	11007A00200101
11007A00200265	11007A00200118
11007A00200266	11007A00200122
11007A00200267	11007A00200122
11007A00200273	11007A00200122
11007A00200274	11007A00200118
11007A00200275	11007A00200118
11007A00200277	11007A00200101
11007A00200278	11007A00200101
11007A00200279	11007A00200101
11007A00200281	11007A00200118
11007A00200282	11007A00200001
11007A00200283	11007A00200001
11007A00200284	11007A00200001
11007A00200285	11007A00200110
11007A00200286	11007A00200110
11007A00200287	11007A00200122
11007A00200289	11007A00200101
11007A00200290	11007A00200101
11007A00200291	11007A00200101
11007A00200292	11007A00200110
11007A00200293	11007A00200110
11007A00200295	11007A00200118
11007A00200297	11007A00200101
11007A00400001	11007A00400001
11007A00400009	11007A00400009
11007A00400010	11007A00400009
11007A00400011	11007A00400009
11007A00400016	11007A00400009
11007A00400021	11007A00400021
11007A00400030	11007A00400021
11007A00400031	11007A00400021
11007A00400035	11007A00400021
11007A00400039	11007A00400021
11007A00400040	11007A00400021
11007A00400041	11007A00400021
11007A00400043	11007A00400043
11007A00400044	11007A00400021
11007A00400045	11007A00400043
11007A00400046	11007A00400043
11007A00400047	11007A00400021
11007A00400048	11007A00400021
11007A00400049	11007A00400043
11007A00400050	11007A00400043
11007A00400051	11007A00400043
11007A00400052	11007A00400043
11007A00400053	11007A00400043
11007A00400054	11007A00400043
11007A00400055	11007A00400043
11007A00400056	11007A00400043
11007A00400057	11007A00400043
11007A00400058	11007A00400021
11007A00400059	11007A00400021
11007A00400060	11007A00400043
11007A00400061	11007A00400043
11007A00400063	11007A00400043
11007A00400064	11007A00400043
11007A00400065	11007A00400043
11007A00400066	11007A00400043
11007A00400067	11007A00400043
11007A00400083	11007A00400083
11007A00400084	11007A00400083
11007A00400085	11007A00400083
11007A00400086	11007A00400083
11007A00400087	11007A00400083
11007A00400090	11007A00400083
11007A00400091	11007A00400083
11007A00400094	11007A00400083
11007A00400095	11007A00400083
11007A00400100	11007A00400083
11007A00400103	11007A00400021
11007A00400104	11007A00400021
11007A00400105	11007A00400105
11007A00400106	11007A00400105
11007A00400109	11007A00400105
11007A00400110	11007A00400105
11007A00400112	11007A00400009
11007A00400114	11007A00400105
11007A00400116	11007A00400105
11007A00400118	11007A00400009
11007A00400119	11007A00400009
11007A00400125	11007A00400009
11007A00400131	11007A00400001
11007A00400134	11007A00400009
11007A00400137	11007A00400083
11007A00400138	11007A00400105
11007A00400139	11007A00400105
11007A00400140	11007A00400043
11007A00400141	11007A00400083
11007A00400149	11007A00400043
11007A00400150	11007A00400043
11007A00400151	11007A00400021
11007A00400152	11007A00400021
11007A00400155	11007A00400043
11007A00400157	11007A00400043
11007A00400163	11007A00400021
11007A00400164	11007A00400021
11007A00400167	11007A00400083
11007A00500003	11007A00500003
11007A00500011	11007A00500011
11007A00500012	11007A00500011
11007A00600003	11007A00600003
11007A00600004	11007A00600003
11007A00600005	11007A00600003
11007A00600006	11007A00600006
11007A00600010	11007A00600006
11007A00600011	11007A00600006
11007A00600012	11007A00600006
11007A00600013	11007A00600006
11007A00600015	11007A00600006
11007A00600017	11007A00600017
11007A00600018	11007A00600017
11007A00600020	11007A00600017
11007A00600021	11007A00600017
11007A00600023	11007A00600017
11007A00600024	11007A00600017
11007A00600025	11007A00600017
11007A00600026	11007A00600017
11007A00600028	11007A00600017
11007A00600032	11007A00600017
11007A00600034	11007A00600017
11007A00600035	11007A00600035
11007A00600037	11007A00600037
11007A00600038	11007A00600037
11007A00600039	11007A00600039
11007A00600040	11007A00600039
11007A00600041	11007A00600041
11007A00600044	11007A00600044
11007A00600045	11007A00600045
11007A00600047	11007A00600045
11007A00600048	11007A00600045
11007A00600049	11007A00600045
11007A00600050	11007A00600045
11007A00600051	11007A00600045
11007A00600052	11007A00600045
11007A00600053	11007A00600045
11007A00600054	11007A00600045
11007A00600056	11007A00600045
11007A00600059	11007A00600045
11007A00600065	11007A00600045
11007A00600066	11007A00600045
11007A00600067	11007A00600045
11007A00600071	11007A00600006
11007A00600073	11007A00600017
11007A00600074	11007A00600017
11007A00600075	11007A00600003
11007A00600082	11007A00600017
11007A00600084	11007A00600017
11007A00600085	11007A00600017
11007A00600086	11007A00600017
11007A00600087	11007A00600017
11007A00600088	11007A00600017
11007A00600089	11007A00600045
11007A00600090	11007A00600045
11007A00600091	11007A00600045
11007A00600092	11007A00600045
11007A00600095	11007A00600045
11007A00800001	11007A00800001
11007A00800005	11007A00800001
11007A00800006	11007A00800001
11007A00800007	11007A00800001
11007A00800008	11007A00800001
11007A00800009	11007A00800001
11007A00800010	11007A00800001
11007A00800011	11007A00800001
11007A00800013	11007A00800001
11007A00800018	11007A00800001
11007A00800019	11007A00800001
11007A00800020	11007A00800001
11007A00800023	11007A00800001
11007A00800024	11007A00800001
11007A00800025	11007A00800001
