CJ SANTA HELENA	Carrer de Santa Helena
CL SARAGOSSA	Carrer de Saragossa
CL PARRES	Carrer de Ses Parres
CL SEVILLA	Carrer de Sevilla
CL SUD	Carrer de Sud
CL TARRAGONA	Carrer de Tarragona
CL TERRASSA	Carrer de Terrasa
CR MAO	Carrer de Terrasa
CL VALENCIA	Carrer de València
CL VELAZQUEZ	Carrer de Velázquez
CL HOSPITAL SANTA MAGDALENA	Carrer de l'Hospital de Santa Magdalena
CL ORGANISTA REIXACH	Carrer de l'Organista Reixach
CL MARE MOLAS	Carrer de la Mare Molas
CL PURISSIMA	Carrer de la Puríssima
CL REPUBLICA ARGENTINA	Carrer de la República Argentina
CL DE S'ABATZER	Carrer de s'Abatzer
CL DE S'ARITJA	Carrer de s'Aritja
CL DE S'AVENC	Carrer de s'Avenc
CL DE S'ULLASTRE	Carrer de s'Ullastre
CL DE SA CARAMUIXA	Carrer de sa Caramuixa
CL SA COVA DES MUSSOL	Carrer de sa Cova des Càrritx
CL COVA DES CÀRRITX	Carrer de sa Cova des Càrritx
CL MURADETA	Carrer de sa Muradeta
CL DE SA PLETA	Carrer de sa Pleta
CL DE SA PUNTA DES BANCAL	Carrer de sa Punta des Bancal
CL DE SA SINIA	Carrer de sa Sínia
CL DE SA VINYA	Carrer de sa Vinya
CL SA VINYETA	Carrer de sa Vinyeta
CL ANDRONES	Carrer de ses Andrones
CL BEAT RAMON LLULL	Carrer del Beat Ramon LLull
CL BISBE SEVER	Carrer del Bisbe Sever
CL COMTE DE CIFUENTES	Carrer del Comte de Cifuentes
CL DORMIDOR DE SES MONGES	Carrer del Dormidor de ses Monges
CL GLOSADOR VIVO	Carrer del Glosador Vivó
CL PARE HUGUET	Carrer del Pare Huguet
CL PRINCEP	Carrer del Princep
CL ROSER	Carrer del Roser
CL SANTISSIM	Carrer del Santíssim
CL SEMINARI	Carrer del Seminari
CL CAPTIUS CONSTANTINOBLE	Carrer des Captius de Constantinoble
