CL SANT ANTONI	Carrer de Sant Antoni
CL S'ARRIBADA	Carrer s'Arribada d’Alcaufar
CM DES PUJOL (TORRET)	Carrer des Pujol
CL CALA BINIANCOLLA 0909	
CL CALA BINIANCOLLA 0908	
CL CALA BINIANCOLLA 0907	
CL CALA BINIANCOLLA 0906	
CL CALA BINIANCOLLA 0905	
CL CALA BINIANCOLLA 0904	
CL CALA BINIANCOLLA 0903	
CL CALA BINIANCOLLA 0902	
CL CALA BINIANCOLLA 0901	
PJ SES MICOLES 15	Passatge de ses Micoles
CL BINIBECAVELL 0549	
CL MAR BLAVA	Carrer de Mar Blava
CM VINYES TORRET 33	
CL VUITENA AVINGUDA. S'ALGAR	Avinguda 8ª
CM DES RAFALETO 07	
CL CONXES, SES	Carrer de ses Conxes
CM POP CORONAT, DES	Carrer des Pop Coronat
CM TORRET DE BAIX 31	
AV PLATJA BINISAFULLER	Avinguda de la Platja de Binisafuller
CL POU NOU	Camí des Pou Nou
CL 31 - S'ALGAR	Carrer 31
CL CORB, DES	Carrer des Corb
CL D'ALLEMAND	Carrer D'Allemand
CL SA VOLTA	Carrer de sa Volta
CL CAP D'EN FONT 0101	
DS CONSELL	
CL BINIBECA VELL 0545	
CL BINIBECA VELL 0544	
CL BINIBECA VELL 0547	
CL BINIBECA VELL 0546	
CL BINIBECA VELL 0548	
PZ SES MICOLES	Plaça ses Micoles
CL CLAVELLS, DES	Carrer des Clavells
CM VINYES BINITA 02	
DS DE BINIBECA	
CL PALANGRE BINIBEQUER VELL	Carrer des Palangre
CM DONZELLA ENAMORADA, DE SA	Carrer de sa Doncella Enamorada
CL 25 - S'ALGAR	Carrer 25
CL ESCULL, DE S'	
CL CAP D'EN FONT INT 0225	
CL AMETLERS, DES	Carrer des Ametllers
CL CAP D'EN FONT INT 0220	
CL OSTRA VERMELLA, DE S'	Carrer de s'Ostra Vermella
CL SOL DE S'ALGAR	
CL SA SIVINA 1304	
CL SA SIVINA 1301	
CM SIPIA TRISTA, DE SA	Carrer de sa Sípia Trista
CL BINISAFUAPL0315	
CL PUNTA PRIMA 1225	
CL NUS DE PESCADOR, DES	Carrer des Nus de Pescador
CL AVINGUDA 7-S'ALGAR	Avinguda 7ª
CL SOL DE PUNTA PRIMA	Carrer des Sol
DS SON ROSSINYOL	
CM MORENA PERILLOSA, DE SA	Carrer de sa Morena Perillosa
DS BINIPARRELL	
CM PLATJA DE LLEVANT, DE SA	Carrer Camí de sa Platja de Ponent
CL CALVO SOTELO	
CL BINIBECA NOU 0641	
CL BINIBECA NOU 0642	
CL BINIBECA NOU 0643	
DS POBLAT DE S'ULLESTRAR	
PS MARITIM-S'ALGAR	Passeig Marítim
CS BINIRRAMET	
CL BINIBECA NOU 0647	
CR BINIANCOLLET	
DS BINIPARRATX GRAN	
CL S'ILLA, DE	Carrer de s'Illa
CL PONENT BINISAFULLER PJ	Carrer de Ponent
CL VARIADES, DE SES	Carrer de ses Variades
CL BINISAFUARO0413	
CL PEUS DE CABRIT, DES	Carrer des Peus de Cabrit
CL BINISAFUARO0414	
CL PINS, DELS	Carrer des Pins
PS MARITIM BINIBEQUER VELL	Passeig Marítim
CL GREGAL DE S'ALGAR	Carrer des Gregal
CL XORIC, DES	Carrer des Xòric
PZ GENERALISSIM FRANCO	
CL MELTEM	Carrer de Meltemi
DS BINIPARRAIX GRAN	
CL LLIMONER, DES	Carrer des Llimoner
DS S'ULLESTRAR	
CR RAFALET DE BAIX	
CL COSTER DE SA TORRE	Carrer Coster de sa Torre
CR S'OLIVERA	Camí de s'Olivera
CL DE SA MITJERA	Carrer de sa Mitgera
CL CAP D'EN FONT 0131	
DS BINIANCOLLA	
DS TORRET	
CL TRAMUNTANA BINIANCOLLA	Carrer de Tramuntana
CM COVA, DE SA	Carrer de sa Cova
CL TAURE, DE	Carrer de Taure
CL S'ALGAR 1508	
CL PAS DES MIRADOR	
CL D'ESCORPI	Carrer d'Escorpió
CM D'ALCAUFAR 18	
CL S'ALGAR 1501	
CL S'ALGAR 1505	
CL S'ALGAR 1504	
CL S'ALGAR 1507	
CL GARBALLONS, DELS	Carrer des Garballons
CL MIGJORN DE BINISAFULLER	Carrer de Migjorn
CL GREGAL DE BINISAFULLER	Carrer Gregal
DS ALCAUFAR	
CL PESCADORS	
CL S'ATZAVARA, DE	Carrer de s'Atzavara
CL CODOL ROIG, DES	Carrer des Còdol Roig
CL CALA ALCAUFAR 1406	
CL ESCOPINYA, DE S'	Carrer de s'Escopinya
CL GAMBI, DES	Carrer des Gambí
CL CALA ALCAUFAR 1401	
CL NUMERO 26-S'ALGAR	
CL CALA ALCAUFAR 1405	
CL CALA ALCAUFAR 1404	
CL CALA ALCAUFAR 1407	
CL ESTRET	Carrer Estret
AV CENTRAL	Avinguda Central
CL CALA ALCAUFAR 1403	
CL CALA ALCAUFAR 1402	
